HS Code,JQ Product code
4405,13.7
4410,8.2
4413,13.7
4414,13.3
4415,13.2
4416,13.2
4417,13.7
4420,13.3
4701,9.1
4702,9.3
4703,9.2.1
4704,9.2.2
4705,9.1
4707,11
4801,12.1.1
4803,12.2
4807,14.1
4808,12.3.3
4809,12.1.4
4812,12.4
4813,12.4
4814,14.5
4816,14.5
4817,14.5
4818,14.3
4819,14.4
4820,14.5
4821,14.5
4822,14.5
440111,1.1.C
440112,1.1.NC
440121,3.1
440122,3.1
440131,5.1
440139,5.2
440140,4
440210,none
440290,2
440311,1.2.C
440312,1.2.NC
440321,1.2.C
440322,1.2.C
440323,1.2.C
440324,1.2.C
440325,1.2.C
440326,1.2.C
440341,1.2.NC
440349,1.2.NC
440391,1.2.NC
440393,1.2.NC
440394,1.2.NC
440395,1.2.NC
440396,1.2.NC
440397,1.2.NC
440398,1.2.NC
440399,1.2.NC
440410,13.7
440420,13.7
440500,13.7
440611,6.C
440612,6.NC
440691,6.C
440692,6.NC
440711,6.C
440712,6.C
440719,6.C
440721,6.NC
440722,6.NC
440725,6.NC
440726,6.NC
440727,6.NC
440728,6.NC
440729,6.NC
440791,6.NC
440792,6.NC
440793,6.NC
440794,6.NC
440795,6.NC
440796,6.NC
440797,6.NC
440799,6.NC
440810,7.C
440831,7.NC.T
440839,7.NC.T
440890,7.NC
440910,13.1.C
440921,none
440922,13.1.NC.T
440929,13.1.NC
441011,8.2
441012,8.2.1
441019,8.2
441090,8.2
441112,8.3.2
441113,8.3.2
441114,8.3.2
441192,8.3.1
441193,8.3.3
441194,8.3.3
441210,none
441231,8.1.NC
441233,8.1.NC
441234,8.1.NC
441239,8.1.C
441294,8.1.NC
441299,8.1.C
441300,13.7
441400,13.3
441510,13.2
441520,13.2
441600,13.2
441700,13.7
441810,13.4
441820,13.4
441840,13.4
441850,13.4
441860,13.4
441873,none
441874,13.4
441875,13.4
441879,13.4
441891,none
441899,13.4
441911,none
441912,none
441919,none
441990,13.3
441999,13.3
442010,13.3
442090,13.3
442110,13.7
442191,none
442199,13.7
470100,9.1
470200,9.3
470311,9.2.1
470319,9.2.1
470321,9.2.1.1
470329,9.2.1.1
470411,9.2.2
470419,9.2.2
470421,9.2.2
470429,9.2.2
470500,9.1
470610,10.1
470620,10.2
470630,10.1
470691,10.1
470692,10.1
470693,10.1
470710,11
470720,11
470730,11
470790,11
480100,12.1.1
480210,12.1.3
480220,12.1.3
480240,12.4
480254,12.1.3
480255,12.1.3
480256,12.1.3
480257,12.1.3
480258,12.1.3
480261,12.1.2
480262,12.1.2
480269,12.1.2
480300,12.2
480411,12.3.1
480419,12.3.1
480421,12.3.3
480429,12.3.3
480431,12.3.3
480439,12.3.3
480441,12.4
480442,12.3.2
480449,12.3.2
480451,12.3.2
480452,12.3.2
480459,12.3.2
480511,12.3.1
480512,12.3.1
480519,12.3.1
480524,12.3.1
480525,12.3.1
480530,12.3.3
480540,12.4
480550,12.4
480591,12.3.1
480592,12.3.2
480593,12.3.4
480610,12.3.3
480620,12.3.3
480630,12.4
480640,12.3.3
480700,14.1
480810,12.3.3
480840,12.3.3
480890,12.3.3
480920,12.3.3
480990,12.3.3
481013,12.1.4
481014,12.1.4
481019,12.1.4
481022,12.1.4
481029,12.1.4
481031,12.3.3
481032,12.3.2
481039,12.3.2
481092,12.3.2
481099,12.3.3
481110,14.2
481141,14.2
481149,14.2
481151,12.3.2
481159,12.3.2
481160,14.2
481190,14.2
481200,12.4
481310,12.4
481320,12.4
481390,12.4
481420,14.5
481490,14.5
481620,14.5
481690,14.5
481710,14.5
481720,14.5
481730,14.5
481810,14.3
481820,14.3
481830,14.3
481850,14.3
481890,14.3
481910,14.4
481920,14.4
481930,14.4
481940,14.4
481950,14.4
481960,14.4
482010,14.5
482020,14.5
482030,14.5
482040,14.5
482050,14.5
482090,14.5
482110,14.5
482190,14.5
482210,14.5
482290,14.5
482320,14.5.3
482340,14.5
482361,none
482369,14.5
482370,14.5.2
482390,14.5.1
940110,none
940120,none
940130,none
940140,none
940152,none
940153,none
940159,none
940161,13.5
940169,13.5
940171,none
940179,none
940180,none
940190,partly
940310,none
940320,none
940330,13.5
940340,13.5
940350,13.5
940360,13.5
940370,none
940382,none
940383,none
940389,none
940390,partly
940610,13.6
940690,none
